"Name","Slug","Nation","Class","Tier","Type","Hitpoints","Effective HP","Armor","Torpedo Protection","Main Battery","Range","Reload Time","Turret Turn Time","Gun Traverse","Sigma","HE Damage","HE Alpha Strike","HE DPM","Fires/Min","AP Damage","Overmatch","AP Alpha Strike","AP DPM","Secondary Range","Sec Battery","AA Max DPS","AA Max Range","Max Speed","Turning Circle","Rudder Shift","Surface Detect","Air Detect","Smoke Penalty","Torp Layout","Torp Range","Torp Damage","Torp Speed","Torp Reload","Torp Detect","Consumables","Mod Slot 1","Mod Slot 2","Mod Slot 3","Mod Slot 4"
"Cossack","cossack","U.K.","Destroyer","VI","Premium","14,800","14,800","6-20 mm","0%","120 mm 3x2","10.60 km","4.5 s","18.0 s","10.0°/s","2.00","1,700","10,200","136,000","5.25","2,100","8 mm","12,600","168,000","","","37","5.00 km","36.0 kt","610 m","3.6 s","6.50 km","3.40 km","2.40 km","","","","","","","","","","",""
"Cossack 38","cossack-38","U.K.","Destroyer","VI","Premium","14,800","14,800","6-20 mm","0%","120 mm 4x2","10.60 km","5.0 s","18.0 s","10.0°/s","2.00","1,700","13,600","163,200","5.84","2,100","8 mm","16,800","201,600","","","17","2.50 km","36.0 kt","610 m","3.6 s","6.80 km","3.40 km","2.40 km","","","","","","","","","","",""
"Courbet","courbet","France","Battleship","III","Tech Tree","41,000","58,220","12-400 mm","10%","305 mm 6x2","14.10 km","30.0 s","60.0 s","3.0°/s","1.80","4,200","42,000","84,000","1.83","8,300","21 mm","83,000","166,000","3.50 km","139 mm 22x1","62","3.00 km","21.0 kt","580 m","12.3 s","12.80 km","10.20 km","9.70 km","","","","","","","","","","",""
"Courbet 1944","courbet-1944","France","Battleship","III","Premium","41,000","58,220","12-400 mm","10%","305 mm 6x2","14.10 km","30.0 s","60.0 s","3.0°/s","1.80","4,200","42,000","84,000","1.83","8,300","21 mm","83,000","166,000","3.50 km","139 mm 22x1","62","3.00 km","21.0 kt","580 m","12.3 s","12.80 km","10.20 km","9.70 km","","","","","","","","","","",""
"Cross of Dorn","cross-of-dorn","Germany","Cruiser","VI","Premium","32,600","32,600","13-180 mm","10%","210 mm 4x2","14.50 km","10.0 s","34.6 s","5.2°/s","2.00","2,900","23,200","139,200","3.42","4,500","14 mm","36,000","216,000","4.50 km","105 mm 4x2","115","3.50 km","32.0 kt","650 m","8.1 s","13.00 km","7.80 km","7.60 km","","","","","","","","","","",""
"Curtatone","curtatone","Italy","Destroyer","I","Tech Tree","8,100","8,100","6-8 mm","0%","120mm OTO 1931 3x2","8.90 km","5.5 s","18.0 s","10.0°/s","2.00","1,700","10,200","111,273","3.93","2,100","8 mm","12,600","137,455","","","","","32.0 kt","460 m","3.0 s","5.80 km","2.90 km","2.10 km","2x2","6.00 km","10,267","54.0 kt","52 s","1.10 km","Slot 1: Damage Control Party | Slot 2: Smoke Generator | Slot 3: Engine Boost","","","",""
"Cyclone","cyclone","France","Destroyer","I","Premium","11,700","14,976","3-10 mm","0%","130 mm 4x1","10.00 km","6.0 s","18.0 s","10.0°/s","2.00","2,050","8,200","82,000","3.14","2,450","9 mm","9,800","98,000","","","10","3.00 km","36.0 kt","560 m","3.1 s","6.00 km","3.00 km","2.30 km","","","","","","","","","","",""
"D&#x27;kyr","d-kyr","France","Battleship","VI","Premium","54,000","76,680","13-360 mm","22%","380 mm 3x2","15.80 km","27.0 s","36.0 s","5.0°/s","2.00","4,200","25,200","56,000","2.00","11,000","26 mm","66,000","146,667","5.50 km","128 mm 11x2","290","5.20 km","32.0 kt","830 m","14.7 s","14.60 km","11.70 km","13.40 km","","","","","","","","","","",""
"Daisen","daisen","Japan","Battleship","VIII","Premium","69,300","98,406","19-508 mm","53%","410 mm 4x2","17.10 km","29.0 s","35.0 s","5.1°/s","2.00","6,500","52,000","107,586","1.95","12,900","28 mm","103,200","213,517","6.80 km","127 mm 10x2","460","5.00 km","35.0 kt","1100 m","16.0 s","15.80 km","12.60 km","15.40 km","","","","","","","","","","",""
"Dalian","dalian","Pan","Cruiser","VIII","Premium","35,000","49,700","12-100mm","19%","130 mm 5x2","14.90 km","4.9 s","9.0 s","20.0°/s","2.00","2,000","20,000","244,898","7.98","2,600","9 mm","26,000","318,367","","","295","5.20 km","33.4 kt","660 m","6.9 s","10.70 km","6.40 km","4.40 km","","","","","","","","","","",""
"Dallas","dallas","U.S.A.","Cruiser","V","Tech Tree","28,300","28,300","6-89 mm","4%","152 mm 2x2","14.60 km","8.5 s","20.0 s","9.0°/s","2.00","2,200","22,000","155,294","5.09","3,200","10 mm","32,000","225,882","4.00 km","127 mm 2x1","137","5.00 km","32.5 kt","650 m","8.0 s","11.60 km","6.90 km","5.40 km","","","","","","","","","","",""
"Danae","danae","U.K.","Cruiser","III","Tech Tree","23,000","29,440","10-76 mm","0%","152 mm 6x1","12.60 km","7.5 s","18.0 s","10.0°/s","2.00","","","","","2,900","10 mm","17,400","139,200","","","48","2.50 km","30.0 kt","540 m","6.1 s","9.50 km","5.70 km","4.20 km","","","","","","","","","","",""
"Dante Alighieri","dante-alighieri","Italy","Battleship","III","Tech Tree","33,000","51,480","13-280 mm","13%","305 mm 4x3","13.30 km","33.0 s","60.0 s","3.0°/s","1.50","3,800","45,600","82,909","1.74","7,900","21 mm","94,800","172,364","4.00 km","120 mm 12x1","54","3.00 km","23.0 kt","580 m","11.5 s","12.00 km","9.60 km","6.90 km","","","","","","","","","","",""
"Dante Alighieri B","dante-alighieri-b","Italy","Battleship","III","Premium","33,000","51,480","13-280 mm","13%","305 mm 4x3","13.30 km","33.0 s","60.0 s","3.0°/s","1.50","3,800","45,600","82,909","1.74","7,900","21 mm","94,800","172,364","4.00 km","120 mm 12x1","54","3.00 km","23.0 kt","580 m","11.5 s","12.00 km","9.60 km","6.90 km","","","","","","","","","","",""
"Daring","daring","U.K.","Destroyer","★","Premium","20,800","24,960","6-20 mm","0%","113 mm 3x2","11.10 km","2.8 s","7.2 s","25.0°/s","2.00","1,700","10,200","218,571","8.44","2,100","7 mm","12,600","270,000","","","116","5.00 km","35.0 kt","630 m","4.6 s","7.10 km","3.50 km","2.40 km","","","","","","","","","","",""
"De Grasse","de-grasse","France","Cruiser","V","Premium","31,200","31,200","6-100 mm","10%","152 mm 3x3","14.90 km","8.1 s","15.0 s","12.0°/s","2.00","2,200","19,800","146,667","5.06","3,300","10 mm","29,700","220,000","4.00 km","100 mm 3x2","41","5.00 km","33.5 kt","690 m","8.8 s","11.80 km","7.40 km","6.00 km","","","","","","","","","","",""
"De Ruyter","de-ruyter","The Netherlands","Cruiser","III","Tech Tree","25,500","25,500","7-100 mm","10%","150 mm 1x1","13.30 km","8.0 s","22.5 s","8.0°/s","2.00","2,150","15,050","112,875","4.18","3,000","10 mm","21,000","157,500","","","38","2.50 km","32.0 kt","660 m","7.0 s","9.60 km","5.80 km","4.20 km","","","","","","","","","","",""
"De Zeven Provinciën","de-zeven-provincien","The Netherlands","Cruiser","VII","Premium","33,800","47,996","13-100mm","19%","152 mm 4x2","15.60 km","6.5 s","22.5 s","8.0°/s","2.00","2,150","17,200","158,769","5.60","3,000","10 mm","24,000","221,538","","","486","6.00 km","32.0 kt","730 m","9.1 s","11.50 km","6.90 km","5.40 km","","15.60 km","2,150","200.0 kt","","","","","","",""
"Defence","defence","U.K.","Cruiser","★","Premium","60,600","109,080","16-305 mm","21%","356 mm 3x2","16.00 km","18.0 s","26.0 s","6.9°/s","2.00","6,100","36,600","122,000","3.19","10,500","24 mm","63,000","210,000","5.00 km","134 mm 8x2","435","4.50 km","33.0 kt","770 m","12.7 s","12.60 km","7.50 km","11.00 km","","","","","","","","","","",""
"Delaware","delaware","U.S.A.","Battleship","VIII","Tech Tree","75,100","106,642","","25%","406 mm 2x3","17.30 km","32.0 s","45.0 s","4.0°/s","1.85","5,700","45,600","85,500","1.82","13,100","28 mm","104,800","196,500","5.00 km","127 mm 10x2","466","5.00 km","28.8 kt","920 m","17.2 s","15.50 km","12.40 km","14.90 km","","","","","","","","","","",""
"Delny","delny","U.S.S.R.","Destroyer","VIII","Tech Tree","22,000","28,160","12-50 mm","0%","130 mm 3x2","11.10 km","5.0 s","12.0 s","15.0°/s","2.00","2,050","12,300","147,600","4.72","2,850","9 mm","17,100","205,200","","","125","5.00 km","43.5 kt","760 m","5.0 s","7.60 km","3.80 km","2.90 km","","","","","","","","","","",""
"Derfflinger","derfflinger","Germany","Battleship","I","Tech Tree","47,600","67,592","13-300 mm","22%","305 mm 4x2","14.60 km","26.0 s","45.0 s","4.0°/s","1.60","3,500","28,000","64,615","2.02","8,100","21 mm","64,800","149,538","5.00 km","88 mm 8x1","40","3.00 km","26.5 kt","740 m","13.3 s","12.90 km","10.30 km","9.80 km","","","","","","","","","","",""
"Derzki","derzki","U.S.S.R.","Destroyer","II","Tech Tree","9,700","9,700","4-14 mm","0%","102 mm 3x1","9.20 km","5.0 s","22.5 s","8.0°/s","2.00","1,500","4,500","54,000","2.35","1,800","7 mm","5,400","64,800","","","3","1.00 km","34.0 kt","510 m","2.3 s","6.00 km","3.00 km","2.00 km","","","","","","","","","","",""
"Des Moines","des-moines","U.S.A.","Cruiser","★","Premium","50,600","64,768","6-203 mm","19%","203 mm 3x3","15.50 km","6.0 s","30.0 s","6.0°/s","2.00","2,550","22,950","229,500","7.43","4,500","14 mm","40,500","405,000","5.00 km","127 mm 6x2","469","5.00 km","33.0 kt","770 m","8.6 s","13.00 km","7.80 km","7.50 km","","","","","","","","","","",""
"Desert Falcon","desert-falcon","Japan","Cruiser","I","Premium","30,700","30,700","6-105mm","0%","203 mm 6x1","13.40 km","13.5 s","36.0 s","5.0°/s","2.00","3,300","19,800","88,000","2.99","4,700","14 mm","28,200","125,333","4.00 km","120 mm 4x1","58","4.50 km","34.5 kt","750 m","5.7 s","10.70 km","6.40 km","5.90 km","","","","","","","","","","",""
"Devonshire","devonshire","U.K.","Cruiser","V","Tech Tree","34,400","44,032","13-114 mm","16%","203 mm 4x2","14.30 km","14.0 s","20.0 s","9.0°/s","2.00","3,300","26,400","113,143","3.32","4,500","14 mm","36,000","154,286","5.00 km","102 mm 4x2","167","5.00 km","31.3 kt","710 m","7.8 s","11.10 km","6.60 km","6.10 km","","","","","","","","","","",""
"Dewa","dewa","Japan","Battleship","VIII","Tech Tree","83,000","117,860","19-508mm","25%","410 mm 2x3","17.70 km","28.0 s","45.0 s","4.0°/s","2.10","6,800","40,800","87,429","1.89","13,500","28 mm","81,000","173,571","5.00 km","127 mm 12x2","485","3.50 km","26.8 kt","890 m","22.0 s","15.80 km","12.70 km","15.40 km","","","","","","","","","","",""
"Dido","dido","U.K.","Cruiser","V","Premium","29,500","29,500","10-89mm","4%","133 mm 5x2","14.30 km","8.0 s","18.0 s","10.0°/s","2.00","1,900","19,000","142,500","4.24","2,550","9 mm","25,500","191,250","","","104","4.50 km","34.0 kt","580 m","6.5 s","10.80 km","6.50 km","4.60 km","","","","","","","","","","",""
"Dm. Donskoi","dm-donskoi","U.S.S.R.","Cruiser","VIII","Tech Tree","47,400","65,980","13-210 mm","19%","180 mm 4x3","16.00 km","11.0 s","18.0 s","10.0°/s","2.00","2,500","30,000","163,636","4.43","4,400","12 mm","52,800","288,000","5.00 km","100 mm 6x2","242","5.00 km","36.0 kt","970 m","10.6 s","14.70 km","8.80 km","8.40 km","","","","","","","","","","",""
"Dmitry Pozharsky","dmitry-pozharsky","U.S.S.R.","Cruiser","VII","Premium","40,700","54,375","13-175 mm","0%","152 mm 4x3","16.00 km","6.8 s","25.0 s","7.2°/s","2.00","","","","","3,150","10 mm","37,800","333,529","5.00 km","100 mm 6x2","264","5.00 km","33.0 kt","760 m","6.5 s","14.00 km","84.00 km","7.30 km","","","","","","","","","","",""
"Drake","drake","U.K.","Cruiser","VIII","Tech Tree","49,800","89,640","16-229 mm","22%","234 mm 3x3","15.60 km","11.0 s","11.0 s","16.4°/s","2.05","3,850","34,650","189,000","4.99","5,750","16 mm","51,750","282,273","5.00 km","113 mm 6x2","263","5.00 km","33.3 kt","760 m","11.0 s","12.20 km","7.30 km","7.60 km","","","","","","","","","","",""
"Dresden","dresden","Germany","Cruiser","I","Tech Tree","11,900","11,900","6-100 mm","0%","105 mm 2x1","9.90 km","4.0 s","18.0 s","10.0°/s","2.00","1,200","2,400","36,000","1.18","","","","","","","7","1.00 km","25.0 kt","580 m","4.9 s","8.90 km","5.30 km","3.00 km","","","","","","","","","","",""
"Druid","druid","U.K.","Destroyer","VIII","Premium","22,000","26,400","10-20mm","0%","127 mm 2x2","11.10 km","2.1 s","7.2 s","25.0°/s","2.00","","","","","2,200","8 mm","8,800","251,429","","","236","5.00 km","35.0 kt","690 m","5.4 s","7.10 km","3.50 km","2.60 km","","","","","","","","","","",""
"Duca d'Aosta B","duca-daosta-b","Italy","Cruiser","IV","Premium","29,700","29,700","7-100 mm","7%","152 mm 4x2","14.10 km","8.0 s","25.7 s","7.0°/s","2.00","2,100","16,800","126,000","3.30","3,200","10 mm","25,600","192,000","4.50 km","100 mm 3x2","82","4.00 km","36.5 kt","710 m","6.5 s","9.90 km","6.20 km","4.70 km","","","","","","","","","","",""
"Duca DAosta","duca-d-aosta","Italy","Cruiser","V","Premium","29,700","29,700","7-100 mm","7%","152 mm 4x2","14.10 km","8.0 s","25.7 s","7.0°/s","2.00","2,100","16,800","126,000","3.30","3,200","10 mm","25,600","192,000","4.50 km","100 mm 3x2","82","4.00 km","36.5 kt","710 m","6.5 s","9.90 km","6.20 km","4.70 km","","","","","","","","","","",""
"Duchaffault","duchaffault","France","Destroyer","V","Tech Tree","14,300","14,300","6-16mm","0%","120 mm 1x1","10.30 km","6.5 s","12.9 s","14.0°/s","2.00","1,700","8,500","78,462","2.81","2,300","8 mm","11,500","106,154","","","66","2.00 km","38.0 kt","570 m","3.6 s","6.30 km","3.10 km","2.20 km","","","","","","","","","","",""
"Duguay-Trouin","duguay-trouin","France","Cruiser","III","Tech Tree","26,700","26,700","10-30 mm","4%","155 mm 4x2","13.10 km","12.0 s","22.5 s","8.0°/s","2.00","2,200","17,600","88,000","3.20","3,300","10 mm","26,400","132,000","","","7","3.00 km","33.0 kt","670 m","7.8 s","10.90 km","6.50 km","5.00 km","","","","","","","","","","",""
"Duke of York","duke-of-york","U.K.","Battleship","VI","Premium","60,500","77,440","13-381 mm","22%","356 mm 1x2","15.90 km","29.5 s","45.0 s","4.0°/s","1.80","6,100","61,000","124,068","2.02","10,500","24 mm","105,000","213,559","4.50 km","","298","3.50 km","28.0 kt","790 m","17.5 s","13.80 km","11.60 km","12.50 km","","","","","","","","","","",""
"Duncan","duncan","U.K.","Battleship","VIII","Tech Tree","75,200","123,328","10-419 mm","23%","419 mm 3x3","17.00 km","31.0 s","30.0 s","6.0°/s","1.60","6,150","55,350","107,129","1.93","13,050","29 mm","117,450","227,323","5.50 km","114 mm 8x2","386","5.00 km","32.0 kt","910 m","16.6 s","15.40 km","12.30 km","15.30 km","","","","","","","","","","",""
"Dunkerque","dunkerque","France","Battleship","V","Premium","52,500","74,550","16-340 mm","25%","330 mm 2x4","16.10 km","28.0 s","36.0 s","5.0°/s","1.80","4,800","38,400","82,286","2.07","9,700","23 mm","77,600","166,286","4.00 km","130 mm 2x2","106","5.20 km","29.5 kt","730 m","14.0 s","14.00 km","11.70 km","11.90 km","","","","","","","","","","",""
"Dunkerque B","dunkerque-b","France","Battleship","V","Premium","52,500","74,550","16-340 mm","25%","330 mm 2x4","16.10 km","28.0 s","36.0 s","5.0°/s","1.80","4,800","38,400","82,286","2.07","9,700","23 mm","77,600","166,286","4.00 km","130 mm 2x2","106","5.20 km","29.5 kt","730 m","14.0 s","14.00 km","11.70 km","11.90 km","","","","","","","","","","",""
"Dupleix","dupleix","France","Cruiser","V","Premium","34,900","34,900","12-60 mm","10%","203 mm 4x2","15.10 km","15.0 s","25.7 s","7.0°/s","2.00","2,800","22,400","89,600","2.91","4,800","14 mm","38,400","153,600","4.00 km","90 mm 4x2","41","4.00 km","32.0 kt","700 m","9.5 s","12.10 km","7.20 km","6.80 km","","","","","","","","","","",""
"Eastern Dragon","eastern-dragon","Japan","Cruiser","V","Premium","39,200","39,200","6-102 mm","13%","203 mm 5x2","14.90 km","14.0 s","45.0 s","4.0°/s","2.00","3,300","33,000","141,429","3.62","4,700","14 mm","47,000","201,429","4.50 km","127 mm 4x2","151","4.00 km","35.0 kt","780 m","7.1 s","12.00 km","7.20 km","6.70 km","","","","","","","","","","",""
"Edinburgh","edinburgh","U.K.","Cruiser","VII","Tech Tree","36,400","65,520","6-114 mm","0%","152 mm 4x3","15.30 km","7.5 s","25.7 s","7.0°/s","2.00","","","","","3,100","10 mm","37,200","297,600","5.00 km","102 mm 6x2","175","5.00 km","32.5 kt","680 m","8.6 s","12.00 km","7.20 km","5.70 km","","","","","","","","","","",""
"Eendracht","eendracht","The Netherlands","Cruiser","VI","Tech Tree","35,800","35,800","10-100 mm","19%","152 mm 2x3","15.00 km","8.0 s","22.5 s","8.0°/s","2.00","2,400","19,200","144,000","4.55","3,200","10 mm","25,600","192,000","","","280","3.50 km","33.0 kt","720 m","9.0 s","11.40 km","6.90 km","5.30 km","","","","","","","","","","",""
"Elbing","elbing","Germany","Destroyer","VIII","Premium","30,900","30,900","13-100 mm","0%","150 mm 3x2","10.80 km","7.5 s","18.0 s","10.0°/s","2.00","1,700","10,200","81,600","3.15","4,100","10 mm","24,600","196,800","","","227","6.00 km","36.2 kt","890 m","6.3 s","6.90 km","3.40 km","3.00 km","","","","","","","","","","",""
"Elephant","elephant","U.S.S.R.","Cruiser","VII","Premium","34,000","45,424","16-152 mm","7%","203 mm 5x2","15.40 km","10.5 s","22.5 s","8.0°/s","2.00","","","","","4,900","14 mm","49,000","280,000","5.00 km","102 mm 6x2","315","5.00 km","30.0 kt","710 m","9.8 s","11.60 km","7.10 km","6.60 km","","","","","","","","","","",""
"Emerald","emerald","U.K.","Cruiser","I","Tech Tree","27,100","34,688","10-76 mm","0%","152 mm 7x1","13.40 km","7.5 s","18.0 s","10.0°/s","2.00","","","","","3,000","10 mm","21,000","168,000","4.50 km","102 mm 3x1","95","3.50 km","33.0 kt","670 m","7.0 s","10.40 km","6.20 km","4.70 km","","","","","","","","","","",""
"Emile Bertin","emile-bertin","France","Cruiser","I","Tech Tree","26,500","26,500","6-30 mm","7%","152 mm 3x3","13.80 km","12.0 s","15.0 s","12.0°/s","2.00","2,200","19,800","99,000","3.06","3,100","10 mm","27,900","139,500","4.00 km","90 mm 2x1","110","4.00 km","39.0 kt","670 m","7.4 s","11.60 km","7.00 km","5.40 km","","","","","","","","","","",""
"En. Gabolde","en-gabolde","France","Destroyer","II","Premium","7,600","7,600","3-10 mm","0%","100 mm 3x1","8.80 km","4.5 s","9.0 s","20.0°/s","2.00","1,400","4,200","56,000","2.26","1,600","6 mm","4,800","64,000","","","","","33.0 kt","450 m","2.0 s","5.50 km","2.80 km","2.00 km","","","","","","","","","","",""
"En. Gabolde W","en-gabolde-w","France","Destroyer","II","Premium","7,600","7,600","3-10 mm","0%","100 mm 3x1","8.80 km","4.5 s","9.0 s","20.0°/s","2.00","1,400","4,200","56,000","2.26","1,600","6 mm","4,800","64,000","","","","","33.0 kt","450 m","2.0 s","5.50 km","2.80 km","2.00 km","","","","","","","","","","",""
"Enterprise","enterprise","U.S.A.","Aircraft Carrier","VII","Premium","51,400","51,400","13-102 mm","28%","","","","","","","","","","","","","","","5.00 km","127 mm 8x1","429","5.00 km","32.5 kt","1070 m","13.1 s","14.10 km","9.90 km","2.00 km","","","","","","","","","","",""
"Erie","erie","U.S.A.","Cruiser","II","Premium","21,500","21,500","6-102mm","0%","152 mm 4x1","10.50 km","4.5 s","20.0 s","9.0°/s","2.00","1,100","4,400","58,667","5.34","3,000","10 mm","12,000","160,000","","","3","0.80 km","28.0 kt","300 m","2.8 s","8.30 km","5.80 km","3.60 km","","","","","","","","","","",""
"Exeter","exeter","U.K.","Cruiser","V","Premium","29,400","37,632","6-140 mm","4%","203 mm 3x2","14.30 km","12.0 s","22.5 s","8.0°/s","2.00","2,850","17,100","85,500","3.11","4,550","14 mm","27,300","136,500","4.00 km","102 mm 4x2","102","5.00 km","32.0 kt","650 m","6.1 s","10.50 km","6.60 km","6.10 km","","","","","","","","","","",""
"Exeter B","exeter-b","U.K.","Cruiser","IV","Premium","29,400","37,632","6-140 mm","4%","203 mm 3x2","14.30 km","12.0 s","22.5 s","8.0°/s","2.00","2,850","17,100","85,500","3.11","4,550","14 mm","27,300","136,500","4.00 km","102 mm 4x2","102","5.00 km","32.0 kt","650 m","6.1 s","10.50 km","6.60 km","6.10 km","","","","","","","","","","",""
"F. Der Große","f-der-grosser","Germany","Battleship","VIII","Tech Tree","84,300","107,904","19-400 mm","25%","420 mm 4x2","18.90 km","29.0 s","32.7 s","5.5°/s","1.90","5,000","40,000","82,759","2.04","13,500","29 mm","108,000","223,448","7.50 km","105 mm 8x2","220","4.50 km","30.0 kt","940 m","17.5 s","16.00 km","12.80 km","15.40 km","","","","","","","","","","",""
"F. Schultz","f-schultz","Germany","Destroyer","VIII","Tech Tree","29,040","29,040","13-100 mm","0%","150 mm 3x2","12.40 km","6.7 s","12.9 s","14.0°/s","2.00","1,800","10,800","96,716","4.80","4,000","10 mm","24,000","214,925","","","113","6.00 km","35.5 kt","800 m","6.1 s","7.30 km","3.70 km","3.10 km","","","","","","","","","","",""
"Farragut","farragut","U.S.A.","Destroyer","I","Tech Tree","11,200","11,200","6-21 mm","0%","127 mm 5x1","10.20 km","4.3 s","12.0 s","15.0°/s","2.00","1,800","9,000","125,581","3.16","2,100","8 mm","10,500","146,512","","","31","5.00 km","36.5 kt","560 m","2.7 s","6.20 km","3.00 km","2.30 km","","","","","","","","","","",""
"Fenyang","fenyang","Pan","Destroyer","VI","Premium","19,200","19,200","13-20mm","0%","100 mm 4x2","10.60 km","5.5 s","11.3 s","15.9°/s","2.00","1,500","12,000","130,909","5.31","1,900","6 mm","15,200","165,818","","","153","5.00 km","33.0 kt","730 m","4.5 s","6.60 km","3.30 km","2.10 km","","","","","","","","","","",""
"Fiji","fiji","U.K.","Cruiser","VI","Tech Tree","31,400","40,192","9-114 mm","0%","152 mm 4x3","14.80 km","8.0 s","20.5 s","8.8°/s","2.00","","","","","3,100","10 mm","37,200","279,000","5.00 km","102 mm 4x2","129","3.50 km","33.8 kt","590 m","5.9 s","11.50 km","6.20 km","5.40 km","","","","","","","","","","",""
"Flandre","flandre","France","Battleship","VII","Premium","75,400","107,068","19-430 mm","32%","380 mm 3x3","17.50 km","30.5 s","36.0 s","5.0°/s","1.80","5,400","48,600","95,607","1.93","11,900","26 mm","107,100","210,689","6.80 km","100 mm 14x2","337","5.00 km","33.5 kt","910 m","15.1 s","15.10 km","12.10 km","13.90 km","","","","","","","","","","",""
"Fletcher","fletcher","U.S.A.","Destroyer","VII","Tech Tree","16,700","16,700","13-20 mm","0%","127 mm 5x1","10.00 km","3.0 s","5.3 s","34.0°/s","2.00","1,900","9,500","190,000","4.52","2,200","8 mm","11,000","220,000","","","135","5.00 km","36.5 kt","560 m","3.0 s","7.00 km","3.50 km","2.60 km","","","","","","","","","","",""
"Flint","flint","U.S.A.","Cruiser","VI","Premium","26,600","26,600","6-89 mm","0%","127 mm 6x2","14.70 km","5.0 s","7.2 s","25.0°/s","1.70","1,800","21,600","259,200","5.52","2,100","8 mm","25,200","302,400","","","224","5.00 km","32.5 kt","610 m","8.4 s","11.40 km","7.20 km","5.70 km","","","","","","","","","","",""
"Florida","florida","U.S.A.","Battleship","VI","Premium","63,800","99,170","16-406 mm","26%","356 mm 3x4","16.10 km","31.0 s","45.0 s","4.0°/s","1.75","4,750","57,000","110,323","1.84","9,500","24 mm","114,000","220,645","5.00 km","127 mm 4x1","363","5.00 km","27.0 kt","760 m","15.4 s","13.70 km","11.50 km","12.40 km","","","","","","","","","","",""
"FR25","fr25","Italy","Destroyer","VI","Premium","19,000","19,000","6-16 mm","0%","139 mm 5x1","10.70 km","6.6 s","15.0 s","12.0°/s","2.00","2,000","10,000","90,909","3.42","2,700","","","","","","53","3.50 km","36.0 kt","690 m","4.4 s","6.90 km","3.50 km","2.80 km","","","","","","","","","","",""
"Francesco Caracciolo","francesco-caracciolo","Italy","Battleship","VI","Tech Tree","50,500","78,780","16-381 mm","25%","381 mm 4x2","15.80 km","33.0 s","30.0 s","6.0°/s","1.70","5,400","43,200","78,545","1.62","11,000","26 mm","88,000","160,000","5.00 km","90 mm 12x1","241","4.00 km","29.0 kt","740 m","14.3 s","14.30 km","11.40 km","9.80 km","","","","","","","","","","",""
"Francesco Ferruccio","francesco-ferruccio","Italy","Cruiser","VI","Premium","28,400","28,400","7-100 mm","10%","152 mm 2x4","14.50 km","11.0 s","15.0 s","12.0°/s","2.00","2,100","16,800","91,636","2.40","3,850","","","","4.50 km","90 mm 8x1","138","4.00 km","36.5 kt","620 m","6.6 s","10.50 km","6.30 km","4.80 km","","","","","","","","","","",""
"Friant","friant","France","Cruiser","II","Tech Tree","20,300","20,300","6-30 mm","4%","139 mm 4x2","11.70 km","12.0 s","25.7 s","7.0°/s","2.00","2,000","16,000","80,000","2.43","2,700","9 mm","21,600","108,000","3.00 km","90 mm 4x1","16","4.00 km","30.0 kt","560 m","6.0 s","10.90 km","5.80 km","4.00 km","","","","","","","","","","",""
"Friesland","friesland","Europe","Destroyer","VII","Premium","17,600","17,600","6-20mm","0%","120 mm 2x2","10.90 km","1.8 s","7.2 s","25.0°/s","2.00","1,750","7,000","233,333","9.45","2,100","8 mm","8,400","280,000","","","286","5.20 km","36.0 kt","620 m","4.0 s","6.90 km","3.60 km","2.60 km","","","","","","","","","","",""
"Fubuki","fubuki","Japan","Destroyer","V","Tech Tree","12,900","12,900","6-20 mm","0%","127 mm 3x2","10.30 km","9.0 s","18.0 s","10.0°/s","2.00","1,800","10,800","72,000","2.35","2,200","8 mm","13,200","88,000","","","16","3.10 km","35.0 kt","640 m","2.5 s","6.20 km","3.10 km","2.30 km","","","","","","","","","","",""
"Furious","furious","U.K.","Aircraft Carrier","V","Tech Tree","44,100","44,100","10-76 mm","0%","","","","","","","","","","","","","","","4.50 km","102 mm 6x2","207","5.00 km","31.5 kt","1070 m","12.5 s","12.80 km","8.90 km","2.00 km","","","","","","","","","","",""
"Furutaka","furutaka","Japan","Cruiser","I","Tech Tree","30,700","30,700","6-105 mm","0%","203 mm 6x1","13.40 km","13.5 s","36.0 s","5.0°/s","2.00","3,300","19,800","88,000","2.99","4,700","14 mm","28,200","125,333","4.00 km","76 mm 4x1","20","4.50 km","34.5 kt","750 m","5.7 s","10.70 km","6.40 km","5.90 km","","","","","","","","","","",""
"Fushun","fushun","Pan","Destroyer","V","Tech Tree","14,100","14,100","10-19 mm","0%","130 mm 4x1","11.10 km","5.0 s","30.0 s","6.0°/s","2.00","1,900","7,600","91,200","3.02","2,500","9 mm","10,000","120,000","","","23","2.00 km","39.0 kt","610 m","4.9 s","6.60 km","3.20 km","2.50 km","","","","","","","","","","",""
"Fusilier","fusilier","France","Destroyer","II","Tech Tree","9,300","9,300","3-10 mm","0%","100 mm 4x1","9.00 km","6.6 s","9.0 s","20.0°/s","2.00","1,500","6,000","54,545","1.99","1,700","6 mm","6,800","61,818","","","2","3.00 km","34.0 kt","530 m","2.9 s","5.60 km","2.80 km","2.00 km","","","","","","","","","","",""
"Fusō","fuso","Japan","Battleship","V","Tech Tree","57,100","81,082","6-305 mm","34%","356 mm 6x2","16.70 km","28.0 s","56.3 s","3.2°/s","1.50","5,700","68,400","146,571","2.07","10,200","24 mm","122,400","262,286","4.00 km","127 mm 4x2","121","5.00 km","24.5 kt","740 m","14.9 s","14.90 km","11.90 km","13.00 km","","","","","","","","","","",""
