"Commander","Nation","Class","Base Trait Name","Base Trait Effects","Row1_Col1_Name","Row1_Col1_Effects","Row1_Col2_Name","Row1_Col2_Effects","Row1_Col3_Name","Row1_Col3_Effects","Row2_Col1_Name","Row2_Col1_Effects","Row2_Col2_Name","Row2_Col2_Effects","Row2_Col3_Name","Row2_Col3_Effects","Row3_Col1_Name","Row3_Col1_Effects","Row3_Col2_Name","Row3_Col2_Effects","Row3_Col3_Name","Row3_Col3_Effects","Row4_Col1_Name","Row4_Col1_Effects","Row4_Col2_Name","Row4_Col2_Effects","Row4_Col3_Name","Row4_Col3_Effects","Row5_Col1_Name","Row5_Col1_Effects","Row5_Col2_Name","Row5_Col2_Effects","Row5_Col3_Name","Row5_Col3_Effects"
"Hector Waller","commonwealth","Destroyer","Hard Over Hec","+3.0% Incoming fire dispersion | -5.0% Rudder-shift time","Contact Is Imminent","+500.0% Torpedo speed","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Mortar","+13.0% Destroyer's main gun AP shells damage (destroyer) | +13.0% Destroyers main gun HE shells damage (destroyer) | +4.0% Detectability of destroyers (destroyer)","Stand or Fall","-0.2% Reload time reduction per 1% HP lost","Back in Stock","-8.0% Torpedo launchers reload time","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","Perceptive","-3.0% Incoming damage to your destroyer (destroyer)","Sidestep","+12.0% Range of destroyer's main guns (destroyer) | +5.0% Incoming fire dispersion | +10.0% Rudder shift time [PENALTY]","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Scrap Iron Flotilla","+6.0% Destroyer main battery at traverse speed per 1% HP lost.  (destroyer) | -0.4% Incoming damage from shells, torpedoes, and bombs to your Destroyer per 1% HP lost.  (destroyer)","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Rather be Torching","+4.0% Chance of a fire being caused by the destroyer's HE shells (destroyer) | -7.0% Destroyer's main gun HE shells damage (destroyer) [PENALTY] | -30.0% Destroyer's detectability time after firing main guns (destroyer)","Steadfast Soldier","+8.0% Destroyer Maximum HP (destroyer) | -60.0% Destroyer engine incapacitation chance (destroyer) | +0.5% Rate of repair per second to your destroyer when HP is equal to 30% or less (destroyer) @L5.5"
"Heihachiru Togo","japan","Hybrid","Good Consumer","+5.0% Reload time for all consumables","Contact Is Imminent","+500.0% Torpedo speed","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Before It's Too Late","+15.0% Torpedo detectability range","Back in Stock","-8.0% Torpedo launchers reload time","Velocious","+5.0% Maximum movement speed","","","Reaching Out XXL","+8.0% Range of main guns","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5"
"Henk Pröpper","netherlands","Hybrid","Terrible Twin","+2.0% Ship's secondary battery shell damage | +2.0% Torpedo Damage | +2.0% Main gun shell damage","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Contact Is Imminent","+500.0% Torpedo speed","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Before It's Too Late","+15.0% Torpedo detectability range","Look at Me Now","-6.0% Sea detectability range","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Back in Stock","-8.0% Torpedo launchers reload time","Velocious","+5.0% Maximum movement speed","Reaching Out XXL","+8.0% Range of main guns","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5"
"Henrique Fernandes","pan-america","Battleship","Eagle Eye","+3.0% Battleship main battery range | +6.0% Secondary guns range","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","","","Reaching Out XXL","+8.0% Range of main guns","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Secondary Interest","-35.0% Enchanced Secondary Targeting cooldown time | +200.0% Enhanced Secondary Targeting charges | -7.0% Secondary Battery Dispersion @L7.5 | -7.0% Secondary Battery Reload time @L7.5 | -7.0% Main Battery Reload Time @L7.5","Testudo","-20.0% Incoming damage while repair party is active | +100.0% Repair Party charges"
"Henry J. Hide","germany","Battleship","Wrenchman extraodrinaire","+6.0% Maximum HP","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","Alidad","+800.0% Minimal ricochet angle of your battleship's shells (battleship) | -400.0% Guaranteed ricochet angle of your battleship's shells [PENALTY]","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","","","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Hot Rod","uk","Cruiser","Cognizant","-10.0% Radar reload time","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Piercer","+4.0% Penetration multiplier","Before It's Too Late","+15.0% Torpedo detectability range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","","","Velocious","+5.0% Maximum movement speed","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Prescience","-20.0% Air detectability range | +10.0% Radar duration","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","",""
"Inigo Campioni","italy","Hybrid","Spartan","-5.0% Damage to your ship","Contact Is Imminent","+500.0% Torpedo speed","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Before It's Too Late","+15.0% Torpedo detectability range","Back in Stock","-8.0% Torpedo launchers reload time","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Velocious","+5.0% Maximum movement speed","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Reaching Out XXL","+8.0% Range of main guns","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5"
"Isoroku Yamamoto","japan","Cruiser","Right Through","+6.0% Cruiser's AP shells penetration multiplier","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","","","Velocious","+5.0% Maximum movement speed","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Fortified","-4.0% Incoming damage | +3.0% Maximum HP","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"Ivan B.D. Lightful","ussr","Cruiser","Phantom Bane","-3.0% Reload time of cruiser's main guns | -12.0% Cruiser's detectability time after firing main guns","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Intuitive","+5.0% Sonar duration | +5.0% Surveillance Radar duration","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Velocious","+5.0% Maximum movement speed","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","","","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","Fear My Roar","-8.0% Shell grouping of cruiser's main guns (cruiser) | -8.0% Dispersion of main battery | +8.0% Detectability of cruisers (cruiser) [PENALTY]","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","Equilibrium of Power","+30.0% Armor penetration of HE shells of your cruiser (cruiser) | -10.0% Cruiser's main gun HE shell damage (cruiser) [PENALTY] | -25.0% Chance of a fire being caused by the cruiser's HE shells (cruiser) [PENALTY]"
"Izayoi Nonomi","germany","Battleship","Squeaky-Clean Sweep","-5.0% Secondary battery reload time | +8.0% Damage against battleships","A Good Day's Work","-8.0% Damage Control Party reload time","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","Dance with Death","-0.1% Armament reload time per 1% of HP lost | +4.0% Main battery traverse speed per 1% HP lost","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","Highly Educated Crew","+15.0% Secondary guns range | +200.0% Damage Control Party charges","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Punishment Time!","-0.4% Cooldown time of current Enhanced Secondary Targeting charge for every secondary battery hit | +100.0% Enhanced Secondary Targeting charges","","","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","","","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Secondary Interest","-35.0% Enchanced Secondary Targeting cooldown time | +200.0% Enhanced Secondary Targeting charges | -7.0% Secondary Battery Dispersion @L7.5 | -7.0% Secondary Battery Reload time @L7.5 | -7.0% Main Battery Reload Time @L7.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Janko Vukovich","europe","Battleship","Stone Skinned","-10.0% Fire duration","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","Reckless Gunman","-8.0% Battleship main battery reload time (battleship) | -15.0% Torpedo detectability range [PENALTY]","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","","","Reaching Out XXL","+8.0% Range of main guns","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Jean Luke Pickup","germany","Battleship","I See Everything","-20.0% Spotter reload time","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","You Should See the Other Guy","-12.0% Damage Control Party Reload time | +3.5% Risk of catching fire","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","Fusillade","-20.0% Enhanced Secondary Targeting reload time | +10.0% Armor penetration of HE shells of your battleship | +200.0% Enhanced Secondary Targeting charges","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","","","Reaching Out XXL","+8.0% Range of main guns","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Jerzy Swirski","europe","Destroyer","Hide'n'Seek","-4.0% Sea detectability range","Contact Is Imminent","+500.0% Torpedo speed","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Mortar","+13.0% Destroyer's main gun AP shells damage (destroyer) | +13.0% Destroyers main gun HE shells damage (destroyer) | +4.0% Detectability of destroyers (destroyer)","","","Back in Stock","-8.0% Torpedo launchers reload time","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","A Thousand Cuts","-8.0% Reload time of destroyer's main guns (destroyer) | -8.0% Reload time of secondary battery","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Cloudy Daze","-20.0% Engine Boost reload time | -12.5% Smoke screen dispersion time [PENALTY] | -12.5% Smoke screen deployment time [PENALTY] | +10.0% Engine Boost duration","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Leviathan","+10.0% Maximum HP | -12.0% Maximum movement speed [PENALTY] | -20.0% Rudder shift time @L7.5 | -10.0% Incoming damage to your destroyer (destroyer)","",""
"Jisaburo Ozawa","japan","Battleship","Ghost Fleet Maneuver","-5.0% Airstrike cooldown time","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Agile Seagull","+120.0% Battleship gun traverse speed (battleship) | +120.0% Cruiser gun traverse speed (cruiser) | +120.0% Destroyer gun traverse speed (destroyer) | -8.0% Rudder-shift time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","Bird's Eye View","+4.0% Airstrike attack range | +4.0% Main battery range","","","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Sea Wings","+4.0% Airstrike aircraft cruise speed | +4.0% Maximum movement speed","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Hidden Hand","+100.0% Total Airstrike squadrons | -10.0% Damage of torpedoes launched by Airstrike aircraft [PENALTY] | +50.0% airstrike_cooldown [PENALTY]","Iron Feathers","+6.0% Maximum HP | +16.0% Airstrike aircraft HP | +0.0% Shows the direction of the closest enemy ship if your ship is armed with Airstrike","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires","",""
"Johan Furstner","netherlands","Cruiser","Minister of the Navy","+5.0% Fire damage caused by your cruiser's shells or bombs","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","Agile Seagull","+120.0% Battleship gun traverse speed (battleship) | +120.0% Cruiser gun traverse speed (cruiser) | +120.0% Destroyer gun traverse speed (destroyer) | -8.0% Rudder-shift time","Look at Me Now","-6.0% Sea detectability range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Bird's Eye View","+4.0% Airstrike attack range | +4.0% Main battery range","Velocious","+5.0% Maximum movement speed","Risk Theory","-20.0% Cruiser detectability time after firing main guns (cruiser) | -3.0% Cruiser detectability (cruiser) | +5.0% Damage of your projectiles as well as fire and floating damage caused by them while your cruiser is undetected by enemy ships, sonar, or radar. ","Sea Wings","+4.0% Airstrike aircraft cruise speed | +4.0% Maximum movement speed","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","Iron Feathers","+6.0% Maximum HP | +16.0% Airstrike aircraft HP | +0.0% Shows the direction of the closest enemy ship if your ship is armed with Airstrike","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","Air Support","-4.0% Airstrike cooldown time | +0.0% Every other Airstrike cooldown takes only 1s @L9km"
"John Fisher","uk","Battleship","Furious Temper","-3.5% Battleship main battery reload time | -3.5% Battleship main battery range","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","Dance with Death","-0.1% Armament reload time per 1% of HP lost | +4.0% Main battery traverse speed per 1% HP lost","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Reformer","+6.0% Battleship main battery range (battleship) | +6.0% Torpedo range | -7.0% Main battery dispersion | -4.0% Maximum HP [PENALTY]","","","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Speed is my Armor","-15.0% Engine Boost cooldown time | +5.0% Maximum battleship speed (battleship) | -8.0% Incoming damage from shells, torpedos, and bombs to your battleship with Engine Boost is active (battleship) | +100.0% Engine Boost Charges","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"John Jellicoe","uk","Hybrid","Overtime","+5.0% Repair Party duration","Contact Is Imminent","+500.0% Torpedo speed","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Before It's Too Late","+15.0% Torpedo detectability range","Back in Stock","-8.0% Torpedo launchers reload time","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Velocious","+5.0% Maximum movement speed","Reaching Out XXL","+8.0% Range of main guns","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Burn, Baby, Burn!","+8.0% Chance of a fire being caused by the aircraft carrier's HE bombs (aircraft carrier) | +4.0% Aircraft carrier's HE bombs damage (aircraft carrier)","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5"
"Joseph Reeves","usa","Battleship","Football Helmet","-16.0% Damage of bombs and torpedos launched by aircraft at your ship. | -2.0% Sea detectability range | -2.0% Air detectability range","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Agile Seagull","+120.0% Battleship gun traverse speed (battleship) | +120.0% Cruiser gun traverse speed (cruiser) | +120.0% Destroyer gun traverse speed (destroyer) | -8.0% Rudder-shift time","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","One-Way Ticket","+4.0% Torpedo Damage","Bird's Eye View","+4.0% Airstrike attack range | +4.0% Main battery range","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Sea Wings","+4.0% Airstrike aircraft cruise speed | +4.0% Maximum movement speed","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Naval Aviator","+400.0% Speed of torpedoes launched by Airstrike aircraft | -8.0% arming time of torpedoes launched by Airstrike aircraft | +4.0% Damage of torpedoes launched by Airstrike aircraft","Iron Feathers","+6.0% Maximum HP | +16.0% Airstrike aircraft HP | +0.0% Shows the direction of the closest enemy ship if your ship is armed with Airstrike","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires","",""
